Year,Rank,Country name,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,"School enrollment, tertiary (% gross)","School enrollment, secondary (% gross)"
2020,51,Mauritius,6.049,6.165,5.933,1.178,0.996,0.574,0.59,0.153,0.096,2.462,42.537841796875,89.5019989013672
2019,49,Mauritius,6.10129976272583,6.21346378326416,5.9891357421875,1.07366394996643,1.39566683769226,0.763389408588409,0.590838134288788,0.186894550919533,0.0840882286429405,2.00672054290771,42.9878692626953,93.135498046875
2023,25,Mexico,6.678,6.781,6.575,1.521,1.241,0.544,0.722,0.086,0.127,2.437,..,..
2022,36,Mexico,6.33,6.441,6.218,1.55,1.169,0.389,0.632,0.086,0.115,2.389,46.4061317443848,98.3576583862305
2021,46,Mexico,6.128,6.238,6.017,1.552,0.886,0.623,0.621,0.092,0.115,2.239,45.6506195068359,98.3202514648438
2020,37,Mexico,6.317,6.42,6.213,1.126,0.83,0.634,0.585,0.092,0.089,2.961,45.1654510498047,102.58154296875
2019,24,Mexico,6.46500015258789,6.55931997299194,6.37068033218384,1.02438747882843,1.22633349895477,0.831601023674011,0.553892552852631,0.083094485104084,0.0831336677074432,2.66254019737244,43.0441398620605,105.515609741211
2023,77,Mongolia,5.696,5.783,5.61,1.353,1.511,0.4,0.501,0.237,0.055,1.64,65.3136138916016,99.1215283290276
2022,61,Mongolia,5.84,5.93,5.75,1.379,1.494,0.244,0.425,0.239,0.058,2.001,64.3169937133789,97.6302037098505
2021,68,Mongolia,5.761,5.845,5.676,1.393,1.197,0.467,0.398,0.247,0.059,1.999,64.4591369628906,99.7959558672287
2020,71,Mongolia,5.677,5.76,5.595,0.966,1.065,0.442,0.397,0.263,0.053,2.492,64.5476303100586,95.9892657742893
2019,81,Mongolia,5.45620012283325,5.53521394729614,5.37718629837036,0.90487277507782,1.45893061161041,0.615788161754608,0.355703115463257,0.263885736465454,0.0465331263840199,1.81052756309509,67.6281585693359,89.1558423616889
2023,76,Montenegro,5.707,5.815,5.599,1.571,1.318,0.587,0.632,0.11,0.132,1.357,55.1743011474609,93.8724975585938
2022,67,Montenegro,5.722,5.941,5.503,1.537,1.385,0.424,0.563,0.17,0.061,1.581,57.4317893981934,92.1609725952148
2021,75,Montenegro,5.547,5.681,5.413,1.573,1.023,0.659,0.46,0.135,0.077,1.619,57.9613914489746,93.1638412475586
2020,73,Montenegro,5.581,5.686,5.475,1.155,0.891,0.637,0.397,0.166,0.081,2.254,58.0944709777832,92.3578720092773
2019,72,Montenegro,5.54610013961792,5.64211225509644,5.4500880241394,1.0101500749588,1.26565790176392,0.839028894901276,0.303223848342896,0.149010330438614,0.0984351113438606,1.88056588172913,56.2633209228516,91.84033203125
2023,107,Morocco,4.795,4.912,4.677,1.213,0.471,0.495,0.631,0.042,0.082,1.861,47.709358215332,89.7980422973633
2022,100,Morocco,4.903,5.023,4.783,1.236,0.535,0.337,0.54,0.013,0.085,2.158,46.1795501708984,86.2332000732422
2021,100,Morocco,5.06,5.181,4.938,1.208,0.268,0.565,0.492,0.02,0.102,2.405,42.8228912353516,82.1820602416992
2020,107,Morocco,4.918,5.036,4.8,0.792,0.219,0.558,0.477,0.034,0.088,2.749,40.02001953125,81.3967819213867
2019,97,Morocco,5.09479999542236,5.20387506484985,4.98572492599487,0.758622109889984,0.645208477973938,0.745096921920776,0.450054138898849,0.0400325506925583,0.0773856043815613,2.37840247154236,38.0248603820801,80.1277923583984
2023,90,Mozambique,5.216,5.406,5.027,0.56,0.883,0.156,0.728,0.158,0.196,2.536,..,..
2022,97,Mozambique,4.954,5.181,4.727,0.57,0.885,0.0,0.625,0.161,0.192,2.519,..,37.8922391567718
2021,101,Mozambique,5.048,5.273,4.823,0.578,0.66,0.191,0.593,0.185,0.2,2.641,..,33.628709753407
2020,116,Mozambique,4.794,4.997,4.592,0.183,0.634,0.196,0.608,0.228,0.163,2.783,..,41.2977552767328
2019,120,Mozambique,4.62360000610352,4.77899694442749,4.46820306777954,0.178741365671158,0.955202877521515,0.324223637580872,0.560775339603424,0.220422104001045,0.163064315915108,2.22121620178223,7.30147504806519,31.9430628028609
2023,118,Myanmar,4.354,4.501,4.208,0.978,0.988,0.436,0.45,0.401,0.174,0.928,..,..
2022,117,Myanmar,4.372,4.533,4.212,1.032,1.125,0.269,0.46,0.4,0.194,0.893,..,..
2021,126,Myanmar,4.394,4.511,4.277,1.038,0.829,0.491,0.513,0.452,0.194,0.877,..,..
2020,127,Myanmar,4.426,4.527,4.324,0.666,0.713,0.341,0.601,0.52,0.178,1.407,..,..
2019,133,Myanmar,4.30800008773804,4.39218044281006,4.22381973266602,0.678090929985046,1.09817826747894,0.495443075895309,0.597478866577148,0.56981372833252,0.187530353665352,0.681462526321411,..,..
2023,106,Namibia,4.832,4.958,4.705,1.266,1.212,0.307,0.47,0.069,0.061,1.446,..,..
2022,105,Namibia,4.631,4.766,4.496,1.289,1.126,0.145,0.383,0.069,0.071,1.549,28.8917407989502,..
2021,124,Namibia,4.459,4.593,4.326,1.292,0.877,0.354,0.384,0.067,0.071,1.414,..,..
2020,125,Namibia,4.574,4.7,4.448,0.882,0.801,0.262,0.411,0.091,0.059,2.068,28.3682403564453,..
2019,122,Namibia,4.57110023498535,4.69062805175781,4.45157241821289,0.840081989765167,1.24573814868927,0.406871169805527,0.444598972797394,0.0764544829726219,0.0543203428387642,1.50303316116333,27.7483100891113,..
2023,93,Nepal,5.158,5.29,5.027,0.965,0.99,0.443,0.653,0.209,0.115,1.783,17.8263874053955,89.5513635551859
2022,78,Nepal,5.36,5.507,5.214,0.979,1.027,0.281,0.567,0.215,0.104,2.187,13.9988746643066,83.9228076897993
2021,84,Nepal,5.377,5.502,5.251,0.984,0.784,0.499,0.519,0.237,0.13,2.224,14.3841028213501,83.5162189990173
